Instance;Time;Solution
30;218.925;[[37, 37], [3, 3, 19, 1], [4, 3, 19, 8], [3, 5, 1, 5], [6, 3, 1, 10], [3, 7, 35, 1], [3, 8, 4, 30], [9, 3, 19, 35], [3, 11, 1, 13], [12, 3, 23, 4], [13, 3, 22, 1], [3, 14, 1, 24], [3, 17, 4, 13], [3, 18, 32, 7], [3, 21, 35, 8], [3, 4, 32, 25], [4, 4, 19, 4], [4, 5, 34, 29], [6, 4, 1, 1], [10, 4, 28, 34], [4, 22, 28, 7], [4, 24, 19, 11], [3, 5, 4, 5], [5, 4, 23, 31], [6, 5, 28, 29], [5, 10, 23, 21], [5, 14, 23, 7], [12, 37, 7, 1]]
31;58.015;[[38, 38], [3, 3, 25, 17], [4, 3, 31, 36], [3, 5, 28, 24], [3, 6, 36, 1], [7, 3, 25, 1], [3, 8, 36, 16], [3, 9, 36, 7], [3, 10, 28, 29], [3, 11, 25, 28], [3, 13, 25, 4], [3, 4, 25, 24], [4, 5, 32, 15], [4, 6, 32, 9], [4, 8, 32, 1], [11, 4, 25, 20], [4, 12, 31, 24], [4, 15, 35, 24], [4, 16, 28, 4], [24, 38, 1, 1]]
32;339.109;[[39, 40], [3, 3, 2, 23], [3, 4, 36, 7], [5, 3, 5, 34], [3, 6, 2, 1], [7, 3, 33, 1], [8, 3, 25, 1], [3, 9, 30, 13], [3, 10, 30, 22], [3, 11, 33, 13], [3, 15, 33, 24], [4, 3, 36, 4], [4, 4, 1, 19], [4, 5, 36, 27], [6, 4, 25, 4], [8, 4, 25, 32], [4, 9, 36, 32], [4, 12, 1, 7], [4, 15, 1, 26], [4, 16, 36, 11], [5, 3, 5, 38], [5, 4, 31, 4], [5, 5, 5, 29], [5, 6, 25, 26], [8, 5, 25, 36], [5, 10, 5, 19], [11, 5, 25, 8], [5, 13, 25, 13], [5, 18, 5, 1], [15, 39, 10, 1]]
33;72.096;[[40, 40], [3, 3, 32, 38], [3, 4, 35, 21], [3, 5, 35, 16], [3, 6, 32, 22], [3, 7, 35, 9], [3, 8, 35, 1], [3, 9, 32, 13], [3, 10, 32, 28], [3, 12, 32, 1], [3, 16, 35, 25], [3, 40, 38, 1], [4, 4, 28, 15], [4, 14, 28, 1], [4, 22, 28, 19], [5, 3, 1, 21], [5, 4, 1, 37], [5, 8, 1, 13], [5, 12, 1, 1], [5, 13, 1, 24], [22, 40, 6, 1]]
34;86.526;[[15, 40], [3, 11, 1, 15], [3, 13, 8, 15], [2, 9, 14, 5], [7, 2, 3, 4], [3, 9, 13, 26], [7, 3, 3, 1], [11, 2, 5, 39], [13, 2, 3, 35], [4, 11, 4, 15], [13, 4, 1, 6], [3, 5, 5, 26], [11, 2, 5, 37], [2, 2, 11, 26], [3, 11, 11, 15], [2, 3, 3, 38], [4, 5, 1, 26], [6, 4, 10, 1], [2, 12, 14, 14], [2, 1, 3, 37], [5, 3, 8, 28], [13, 5, 1, 10], [12, 4, 1, 31], [4, 1, 10, 5], [2, 5, 1, 1], [2, 6, 1, 35]]
35;87.914;[[15, 40], [2, 11, 10, 1], [2, 3, 12, 34], [7, 10, 5, 16], [4, 8, 8, 26], [5, 9, 5, 3], [2, 7, 14, 30], [1, 4, 13, 30], [1, 6, 12, 28], [4, 5, 1, 3], [3, 8, 5, 26], [3, 1, 6, 36], [5, 5, 1, 34], [3, 1, 9, 36], [4, 12, 12, 16], [6, 2, 4, 1], [4, 2, 12, 39], [11, 4, 5, 12], [10, 2, 6, 37], [3, 2, 1, 1], [11, 2, 1, 39], [4, 3, 12, 9], [4, 26, 1, 8], [4, 8, 12, 1], [3, 2, 13, 28], [6, 2, 6, 34]]
36;83.714;[[15, 40], [12, 7, 1, 4], [7, 7, 9, 17], [1, 7, 1, 21], [1, 5, 9, 27], [2, 3, 1, 1], [6, 2, 10, 38], [2, 7, 2, 21], [5, 2, 3, 2], [1, 3, 9, 24], [6, 1, 10, 40], [6, 12, 10, 24], [9, 6, 4, 11], [2, 12, 7, 24], [2, 7, 7, 17], [3, 10, 1, 28], [1, 4, 9, 32], [5, 1, 3, 1], [3, 16, 13, 1], [5, 3, 8, 1], [4, 2, 7, 36], [5, 2, 11, 36], [3, 10, 1, 11], [9, 3, 1, 38], [3, 16, 4, 22], [3, 5, 4, 17]]
37;342.277;[[30, 61], [5, 7, 18, 29], [5, 14, 1, 1], [8, 14, 10, 29], [4, 8, 27, 49], [21, 13, 5, 16], [7, 11, 6, 1], [14, 11, 4, 43], [5, 14, 26, 35], [4, 5, 27, 57], [18, 3, 4, 54], [3, 21, 23, 30], [17, 11, 14, 1], [4, 11, 23, 51], [7, 4, 12, 12], [5, 4, 5, 29], [6, 7, 4, 33], [5, 18, 26, 17], [5, 3, 4, 40], [3, 7, 1, 50], [5, 3, 26, 14], [4, 18, 1, 15], [3, 4, 6, 12], [12, 2, 19, 12], [6, 2, 19, 14], [5, 18, 18, 36], [21, 5, 1, 57], [3, 17, 1, 33], [3, 4, 9, 12]]
38;345.448;[[30, 61], [18, 6, 1, 1], [2, 12, 22, 7], [10, 7, 1, 37], [23, 4, 1, 53], [4, 1, 25, 30], [7, 7, 24, 37], [11, 4, 19, 3], [5, 6, 24, 31], [2, 7, 29, 29], [6, 11, 11, 30], [10, 19, 7, 11], [11, 5, 9, 57], [4, 2, 27, 1], [7, 5, 20, 57], [4, 2, 25, 28], [7, 12, 24, 7], [7, 13, 24, 44], [6, 3, 11, 41], [10, 6, 1, 31], [16, 9, 1, 44], [4, 1, 20, 1], [10, 4, 7, 7], [6, 24, 1, 7], [9, 9, 22, 19], [2, 1, 29, 36], [8, 5, 1, 57], [3, 5, 28, 57], [7, 25, 17, 28], [5, 21, 17, 7]]
39;312.27;[[30, 61], [24, 9, 4, 23], [9, 8, 22, 1], [9, 11, 5, 44], [9, 17, 14, 35], [4, 24, 27, 35], [8, 4, 5, 55], [1, 6, 4, 51], [1, 5, 4, 46], [4, 17, 23, 35], [3, 6, 1, 26], [5, 3, 26, 59], [12, 5, 14, 52], [13, 12, 1, 32], [14, 14, 1, 9], [14, 2, 13, 57], [2, 2, 26, 33], [3, 8, 19, 1], [9, 8, 10, 1], [14, 12, 15, 9], [2, 12, 29, 9], [6, 3, 20, 59], [9, 6, 1, 1], [5, 2, 5, 7], [13, 2, 15, 21], [3, 18, 1, 44], [3, 14, 28, 21], [16, 3, 4, 59], [12, 3, 14, 32]]
40;593.292;[[60, 97], [34, 6, 1, 63], [3, 13, 24, 78], [5, 13, 56, 25], [12, 10, 1, 69], [12, 10, 37, 3], [6, 7, 24, 91], [6, 15, 2, 1], [25, 7, 9, 1], [15, 25, 15, 29], [21, 12, 30, 19], [7, 16, 54, 38], [5, 16, 31, 36], [21, 3, 17, 59], [5, 21, 49, 33], [5, 7, 36, 34], [5, 5, 21, 14], [1, 4, 55, 33], [4, 10, 56, 72], [13, 6, 3, 22], [13, 12, 8, 10], [9, 12, 30, 86], [23, 6, 26, 13], [7, 3, 23, 19], [5, 7, 31, 52], [2, 1, 27, 89], [10, 2, 42, 84], [6, 6, 1, 16], [5, 6, 51, 27], [7, 14, 54, 2], [14, 6, 16, 22], [16, 3, 15, 54], [16, 5, 21, 8], [14, 6, 35, 63], [14, 5, 13, 69], [14, 13, 27, 69], [2, 3, 39, 41], [3, 7, 34, 1], [11, 2, 49, 96], [7, 11, 41, 69], [7, 6, 54, 16], [6, 6, 55, 90], [14, 33, 1, 29], [12, 4, 30, 82], [3, 12, 21, 83], [16, 18, 5, 80], [3, 12, 36, 41], [12, 18, 49, 54], [4, 4, 23, 74], [3, 4, 36, 54], [1, 3, 60, 72], [2, 3, 21, 95], [9, 6, 52, 82], [6, 9, 43, 34], [6, 1, 8, 62], [2, 6, 1, 80], [7, 5, 16, 75], [5, 18, 49, 1], [3, 9, 2, 87], [9, 3, 52, 22], [9, 18, 39, 44], [5, 6, 49, 90], [2, 6, 1, 22], [12, 2, 37, 1], [2, 9, 41, 35], [8, 3, 42, 81], [8, 9, 48, 72], [9, 10, 39, 86], [3, 5, 13, 75], [2, 3, 3, 80], [18, 3, 31, 31], [3, 7, 27, 82], [3, 2, 58, 88], [9, 2, 49, 88]]
