Instance;Time;Solution
30;218.925;[[37, 37], [3, 3, 19, 1], [4, 3, 19, 8], [3, 5, 1, 5], [6, 3, 1, 10], [3, 7, 35, 1], [3, 8, 4, 30], [9, 3, 19, 35], [3, 11, 1, 13], [12, 3, 23, 4], [13, 3, 22, 1], [3, 14, 1, 24], [3, 17, 4, 13], [3, 18, 32, 7], [3, 21, 35, 8], [3, 4, 32, 25], [4, 4, 19, 4], [4, 5, 34, 29], [6, 4, 1, 1], [10, 4, 28, 34], [4, 22, 28, 7], [4, 24, 19, 11], [3, 5, 4, 5], [5, 4, 23, 31], [6, 5, 28, 29], [5, 10, 23, 21], [5, 14, 23, 7], [12, 37, 7, 1]]
31;58.015;[[38, 38], [3, 3, 5, 36], [3, 4, 1, 19], [3, 5, 1, 14], [3, 6, 1, 23], [3, 7, 1, 29], [3, 8, 36, 31], [3, 9, 36, 1], [3, 10, 36, 21], [3, 11, 36, 10], [3, 13, 1, 1], [4, 3, 1, 36], [4, 5, 32, 1], [4, 6, 32, 33], [4, 8, 4, 28], [4, 11, 32, 6], [4, 12, 4, 1], [4, 15, 4, 13], [4, 16, 32, 17], [24, 38, 8, 1]]
32;339.534;[[39, 40], [3, 3, 33, 30], [4, 3, 1, 1], [5, 3, 4, 38], [3, 6, 27, 18], [3, 7, 33, 23], [3, 8, 1, 18], [3, 9, 24, 15], [10, 3, 29, 1], [3, 11, 1, 7], [3, 15, 1, 26], [4, 3, 1, 4], [4, 4, 36, 29], [5, 4, 4, 9], [6, 4, 33, 33], [4, 8, 5, 1], [9, 4, 27, 14], [4, 12, 24, 25], [4, 15, 36, 14], [16, 4, 24, 37], [5, 3, 4, 35], [5, 4, 4, 31], [5, 5, 35, 9], [6, 5, 30, 18], [5, 8, 24, 1], [10, 5, 24, 9], [11, 5, 29, 4], [5, 13, 28, 24], [5, 18, 4, 13], [15, 39, 9, 1]]
33;76.122;[[40, 40], [3, 3, 1, 28], [3, 4, 1, 24], [3, 5, 31, 36], [3, 6, 31, 13], [3, 7, 1, 1], [3, 8, 31, 28], [3, 9, 31, 19], [3, 10, 1, 31], [3, 12, 31, 1], [3, 16, 1, 8], [3, 40, 34, 1], [4, 4, 37, 37], [4, 14, 37, 23], [4, 22, 37, 1], [5, 3, 4, 30], [5, 4, 4, 1], [5, 8, 4, 33], [5, 12, 4, 18], [5, 13, 4, 5], [22, 40, 9, 1]]
34;74.601;[[15, 40], [11, 3, 3, 5], [3, 13, 8, 21], [2, 9, 14, 32], [2, 7, 14, 14], [3, 9, 5, 23], [3, 7, 5, 32], [2, 11, 11, 21], [2, 13, 14, 1], [11, 4, 3, 8], [13, 4, 1, 17], [3, 5, 8, 34], [2, 11, 1, 1], [2, 2, 11, 37], [3, 11, 13, 21], [3, 2, 5, 21], [5, 4, 9, 1], [6, 4, 3, 1], [12, 2, 1, 39], [2, 1, 3, 33], [3, 5, 11, 32], [13, 5, 1, 12], [4, 12, 1, 21], [1, 4, 13, 37], [2, 5, 3, 34], [2, 6, 1, 33]]
35;47.177;[[15, 40], [11, 2, 5, 34], [3, 2, 8, 20], [10, 7, 6, 7], [8, 4, 5, 16], [5, 9, 11, 20], [7, 2, 9, 36], [4, 1, 1, 40], [1, 6, 5, 7], [4, 5, 1, 1], [8, 3, 5, 38], [3, 1, 13, 40], [5, 5, 11, 29], [1, 3, 5, 13], [4, 12, 5, 22], [2, 6, 9, 22], [4, 2, 5, 36], [11, 4, 5, 3], [10, 2, 6, 14], [3, 2, 13, 38], [11, 2, 5, 1], [3, 4, 13, 16], [4, 26, 1, 6], [4, 8, 1, 32], [3, 2, 5, 20], [2, 6, 9, 28]]
36;66.731;[[15, 40], [12, 7, 1, 13], [7, 7, 5, 32], [1, 7, 12, 32], [1, 5, 1, 31], [2, 3, 8, 1], [6, 2, 10, 1], [7, 2, 5, 39], [2, 5, 1, 36], [3, 1, 13, 38], [1, 6, 1, 20], [6, 12, 7, 20], [6, 9, 4, 4], [2, 12, 5, 20], [2, 7, 1, 1], [3, 10, 13, 28], [1, 4, 3, 4], [1, 5, 1, 26], [3, 16, 13, 3], [3, 5, 1, 8], [4, 2, 12, 39], [2, 5, 3, 36], [3, 10, 10, 3], [3, 9, 13, 19], [3, 16, 2, 20], [5, 3, 3, 1]]
37;342.636;[[30, 61], [5, 7, 26, 11], [5, 14, 5, 44], [8, 14, 20, 25], [8, 4, 12, 7], [13, 21, 1, 18], [11, 7, 15, 11], [11, 14, 1, 4], [5, 14, 10, 44], [5, 4, 20, 41], [18, 3, 6, 1], [3, 21, 28, 18], [11, 17, 20, 45], [11, 4, 20, 7], [7, 4, 8, 58], [5, 4, 25, 41], [6, 7, 19, 18], [18, 5, 1, 39], [3, 5, 25, 18], [3, 7, 12, 11], [5, 3, 24, 1], [4, 18, 1, 44], [3, 4, 5, 58], [12, 2, 19, 39], [2, 6, 29, 1], [5, 18, 15, 44], [5, 21, 14, 18], [17, 3, 12, 4], [4, 3, 1, 1]]
38;346.435;[[30, 61], [6, 18, 12, 35], [2, 12, 10, 30], [7, 10, 18, 31], [4, 23, 18, 8], [1, 4, 18, 1], [7, 7, 19, 1], [4, 11, 22, 11], [5, 6, 1, 55], [7, 2, 7, 53], [6, 11, 12, 24], [10, 19, 8, 5], [5, 11, 7, 42], [2, 4, 10, 26], [5, 7, 23, 55], [4, 2, 22, 8], [12, 7, 6, 55], [7, 13, 18, 41], [6, 3, 1, 52], [6, 10, 1, 42], [9, 16, 1, 26], [4, 1, 14, 53], [10, 4, 8, 1], [6, 24, 25, 31], [9, 9, 22, 22], [2, 1, 4, 61], [5, 8, 18, 54], [3, 5, 28, 56], [7, 25, 1, 1], [5, 21, 26, 1]]
39;343.154;[[30, 61], [24, 9, 3, 17], [9, 8, 13, 38], [11, 9, 20, 29], [17, 9, 1, 1], [24, 4, 3, 10], [4, 8, 27, 18], [1, 6, 1, 55], [5, 1, 22, 9], [4, 17, 27, 1], [6, 3, 3, 14], [3, 5, 14, 33], [12, 5, 1, 41], [13, 12, 1, 26], [14, 14, 17, 48], [2, 14, 1, 10], [2, 2, 1, 24], [3, 8, 17, 30], [9, 8, 18, 1], [12, 14, 5, 46], [12, 2, 5, 60], [3, 6, 14, 27], [9, 6, 22, 38], [5, 2, 22, 44], [13, 2, 18, 46], [18, 3, 9, 14], [14, 3, 17, 26], [3, 16, 2, 46], [12, 3, 1, 38]]
40;639.734
